protein	adipose tissue	adrenal gland	appendix	bone marrow	breast	bronchus	caudate	cerebellum	cerebral cortex	cervix	colon	duodenum	endometrium 1	endometrium 2	epididymis	esophagus	fallopian tube	gallbladder	heart muscle	hippocampus	kidney	liver	lung	lymph node	nasopharynx	oral mucosa	ovary	pancreas	parathyroid gland	placenta	prostate	rectum	salivary gland	seminal vesicle	skeletal muscle	skin 1	skin 2	small intestine	smooth muscle	soft tissue 1	soft tissue 2	spleen	stomach 1	stomach 2	testis	thyroid gland	tonsil	urinary bladder	vagina	nan	hypothalamus	endometrium	hair	retina	lactating breast	skin	thymus	cartilage	eye	pituitary gland	choroid plexus	dorsal raphe	substantia nigra	sole of foot	
COLGALT2	1	2	1	1	2	2	3	2	2	1	1	3	2	2	1	2	2	2	3	3	2	0	2	1	2	1	0	2	1	0	2	2	2	1	1	0	0	2	1	0	1	2	3	3	2	2	1	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
EPS8L3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
EGFL6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SYCP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
APCDD1L	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
RCSD1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	3	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
RASSF9	0	0	0	0	1	-100	1	1	1	0	2	2	0	0	2	0	1	2	0	1	1	2	2	0	1	0	0	0	0	2	0	2	2	1	2	0	1	2	1	0	0	0	1	2	0	0	2	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
FAM169A	0	1	0	0	0	0	2	2	0	0	0	0	0	2	3	0	0	1	0	2	1	0	0	0	1	0	0	2	1	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ZNF830	2	3	2	2	2	3	2	3	0	3	2	3	2	3	2	3	3	3	3	2	3	1	3	2	3	3	2	2	3	3	3	3	3	3	3	3	3	2	2	2	2	0	3	2	2	3	3	3	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
TMEM184B	0	2	1	1	2	2	0	2	1	0	2	2	2	2	1	1	1	1	1	1	2	1	1	2	2	1	0	3	1	3	1	2	0	2	1	2	1	1	0	0	0	0	2	3	1	2	2	1	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
